type,year,authors,organization,name,location
Invited,2017,"MacIvor JS, Xie G.",Protecting Pollinators in Urban Landscapes Conference,Functional and phylogenetic filtering of an urban wild bee community,"Traverse City, MI, USA."
Invited,2017,"Lundholm JT, Heim A, Williams N, Xie G, MacIvor JS.",INTERCOL Beijing,Engineering improved ecosystem function using plant traits and environmental heterogeneity,"Beijing, China"
Contributed,,,,,
