year,fellowship,organization,monetary_value
2018-2019,Nova Scotia Graduate Scholarship (Renewal),Saint Mary's University,10000
2018,Clean Foundation Scholarship,Clean Foundation,2000
2017-2018,NSERC CGS-M Alexander Graham Bell Canada Graduate Scholarship,NSERC,17500
2017,Nova Scotia Graduate Scholarship ,Saint Mary's University,2500
2017,TD Undergraduate Research Opportunity Scholarship,University of Toronto Scarborough,5000
