year,role,university
2019,Graduate Statistics Mentor,Saint Mary's University
2017,Field Research Technician,University of Toronto Scarborough
2017,Lab Research Assistant,University of Toronto Scarborough
2015,Field Research Assistant,University of Toronto Scarborough
